1~@~AdmRptDbTable    10: Id (en-US)~@~1~@~1~@~Table
2~@~AdmRptDbTable   100: ModifiedAfter (en-US)~@~2~@~1~@~Modified On or After
3~@~AdmRptUsr    20: UsrGroupId (en-US)~@~3~@~1~@~User Group
4~@~AdmRptUsr    10: Active (en-US)~@~4~@~1~@~Active Users
5~@~AdmRptUsage   100: SystemId (en-US)~@~5~@~1~@~System
6~@~AdmRptUsage   200: FrDate (en-US)~@~6~@~1~@~From
7~@~AdmRptUsage   300: ToDate (en-US)~@~7~@~1~@~To
8~@~AdmRptUsage   400: AgentId (en-US)~@~8~@~1~@~Agent
9~@~AdmRptUsage   800: InvestorId (en-US)~@~9~@~1~@~Investor
10~@~AdmRptUsage    50: Summary (en-US)~@~10~@~1~@~Summary
11~@~AdmRptUsage   500: BrokerId (en-US)~@~11~@~1~@~Broker
12~@~AdmRptUsage   600: VendorId (en-US)~@~12~@~1~@~Vendor
13~@~AdmRptUsage   700: CustomerId (en-US)~@~13~@~1~@~Customer
14~@~AdmRptUsage   900: MemberId (en-US)~@~14~@~1~@~Member
15~@~AdmRptUsage  1000: UsrGroupId (en-US)~@~15~@~1~@~User Group
16~@~AdmRptUsage  1100: UserId (en-US)~@~16~@~1~@~User
18~@~AdmRptBizRule   200: SystemId (en-US)~@~18~@~1~@~System
19~@~AdmRptMsg   200: SystemId (en-US)~@~19~@~1~@~System
20~@~AdmRptMsg   100: CultureId (en-US)~@~20~@~1~@~Human Language
21~@~AdmRptDataDict    10: SystemId (en-US)~@~22~@~1~@~System
22~@~AdmRptPrgList   200: SystemId (en-US)~@~23~@~1~@~System
23~@~AdmRptPrgList   100: CultureId (en-US)~@~24~@~1~@~Human Language
31~@~AdmRptDbTable    10: Id (fr-FR)~@~1~@~2~@~Table
32~@~AdmRptDbTable   100: ModifiedAfter (fr-FR)~@~2~@~2~@~Mis à jour le ou après le
33~@~AdmRptUsr    20: UsrGroupId (fr-FR)~@~3~@~2~@~User Group
34~@~AdmRptUsr    10: Active (fr-FR)~@~4~@~2~@~Utilisateurs actifs
35~@~AdmRptUsage   100: SystemId (fr-FR)~@~5~@~2~@~Système
36~@~AdmRptUsage   200: FrDate (fr-FR)~@~6~@~2~@~À partir de
37~@~AdmRptUsage   300: ToDate (fr-FR)~@~7~@~2~@~À
38~@~AdmRptUsage   400: AgentId (fr-FR)~@~8~@~2~@~Agent
39~@~AdmRptUsage   800: InvestorId (fr-FR)~@~9~@~2~@~Investisseurs
40~@~AdmRptUsage    50: Summary (fr-FR)~@~10~@~2~@~Sommaire
41~@~AdmRptUsage   500: BrokerId (fr-FR)~@~11~@~2~@~Broker
42~@~AdmRptUsage   600: VendorId (fr-FR)~@~12~@~2~@~Vendeur
43~@~AdmRptUsage   700: CustomerId (fr-FR)~@~13~@~2~@~Client
44~@~AdmRptUsage   900: MemberId (fr-FR)~@~14~@~2~@~Membres
45~@~AdmRptUsage  1000: UsrGroupId (fr-FR)~@~15~@~2~@~User Group
46~@~AdmRptUsage  1100: UserId (fr-FR)~@~16~@~2~@~Utilisateur
47~@~AdmRptBizRule   200: SystemId (fr-FR)~@~18~@~2~@~Système
48~@~AdmRptMsg   200: SystemId (fr-FR)~@~19~@~2~@~Système
49~@~AdmRptMsg   100: CultureId (fr-FR)~@~20~@~2~@~Human Language
50~@~AdmRptDataDict    10: SystemId (fr-FR)~@~22~@~2~@~Système
51~@~AdmRptPrgList   200: SystemId (fr-FR)~@~23~@~2~@~Système
52~@~AdmRptPrgList   100: CultureId (fr-FR)~@~24~@~2~@~Human Language
56~@~AdmRptDbTable    10: Id (zh-CN)~@~1~@~4~@~表
57~@~AdmRptDbTable   100: ModifiedAfter (zh-CN)~@~2~@~4~@~修改日期或之后
58~@~AdmRptUsr    20: UsrGroupId (zh-CN)~@~3~@~4~@~用户组
59~@~AdmRptUsr    10: Active (zh-CN)~@~4~@~4~@~活跃\u200b\u200b用户
60~@~AdmRptUsage   100: SystemId (zh-CN)~@~5~@~4~@~系统
61~@~AdmRptUsage   200: FrDate (zh-CN)~@~6~@~4~@~从
