13~@~2~@~F~@~TableName~@~AdmRptTbl    30: TableName~@~30~@~~@~~@~~@~15~@~~@~
14~@~2~@~F~@~TableDesc~@~AdmRptTbl    40: TableDesc~@~40~@~~@~~@~~@~15~@~~@~
15~@~2~@~F~@~ModifiedOn~@~AdmRptTbl    50: ModifiedOn~@~50~@~~@~~@~~@~12~@~2~@~2
16~@~2~@~F~@~ColumnName~@~AdmRptTbl    60: ColumnName~@~60~@~~@~~@~~@~15~@~~@~
17~@~2~@~F~@~DataTypeName~@~AdmRptTbl    70: DataTypeName~@~70~@~~@~~@~~@~15~@~~@~
18~@~2~@~F~@~ColumnLength~@~AdmRptTbl    80: ColumnLength~@~80~@~~@~~@~~@~2~@~~@~
19~@~2~@~F~@~AllowNulls~@~AdmRptTbl    90: AllowNulls~@~90~@~~@~~@~~@~15~@~~@~
20~@~2~@~F~@~ColumnIdentity~@~AdmRptTbl   100: ColumnIdentity~@~100~@~~@~~@~~@~15~@~~@~
21~@~2~@~F~@~PrimaryKey~@~AdmRptTbl   110: PrimaryKey~@~110~@~~@~~@~~@~15~@~~@~
859~@~53~@~F~@~UsrGroupName~@~AdmRptUsr    60: UsrGroupName~@~60~@~~@~~@~~@~15~@~~@~
860~@~53~@~F~@~CultureTypeName~@~AdmRptUsr    70: CultureTypeName~@~70~@~~@~~@~~@~15~@~~@~
861~@~53~@~F~@~RowAuthorityDesc~@~AdmRptUsr    80: RowAuthorityDesc~@~80~@~~@~~@~~@~15~@~~@~
862~@~53~@~F~@~ColAuthorityDesc~@~AdmRptUsr    90: ColAuthorityDesc~@~90~@~~@~~@~~@~15~@~~@~
863~@~53~@~F~@~UsrName~@~AdmRptUsr   110: UsrName~@~110~@~~@~~@~~@~11~@~~@~
864~@~53~@~F~@~UsrEmail~@~AdmRptUsr   120: UsrEmail~@~120~@~~@~~@~~@~11~@~~@~
865~@~53~@~F~@~InvestorName~@~AdmRptUsr   140: InvestorName~@~140~@~~@~~@~~@~11~@~~@~
866~@~53~@~F~@~CustomerName~@~AdmRptUsr   150: CustomerName~@~150~@~~@~~@~~@~11~@~~@~
867~@~53~@~F~@~VendorName~@~AdmRptUsr   160: VendorName~@~160~@~~@~~@~~@~11~@~~@~
868~@~53~@~F~@~MemberName~@~AdmRptUsr   190: MemberName~@~190~@~~@~~@~~@~11~@~~@~
948~@~53~@~F~@~ActiveIn~@~AdmRptUsr    50: ActiveIn~@~50~@~~@~~@~~@~11~@~~@~
949~@~53~@~F~@~AgentName~@~AdmRptUsr   170: AgentName~@~170~@~~@~~@~~@~11~@~~@~
950~@~53~@~F~@~BrokerName~@~AdmRptUsr   180: BrokerName~@~180~@~~@~~@~~@~11~@~~@~
951~@~53~@~F~@~iUsrName~@~AdmRptUsr   200: iUsrName~@~200~@~~@~~@~~@~11~@~~@~
