2~@~AdmReportGrp    10: Report (en-US)~@~2~@~1~@~Report
3~@~AdmScreenCri    10: Screen (en-US)~@~3~@~1~@~Screen
4~@~AdmReportCri    10: Report (en-US)~@~4~@~1~@~Report
9~@~AdmClientRule    10: Screen (en-US)~@~9~@~1~@~Screen
10~@~AdmClientRule    30: Culture (en-US)~@~10~@~1~@~Culture
11~@~AdmClientRule    20: Report (en-US)~@~11~@~1~@~Report
13~@~AdmReportObj    10: Report (en-US)~@~13~@~1~@~Report
15~@~AdmWebRule    10: Screen (en-US)~@~15~@~1~@~Screen
16~@~AdmServerRule    10: Screen (en-US)~@~16~@~1~@~Screen
17~@~AdmWizardRule    10: Wizard (en-US)~@~17~@~1~@~Wizard
18~@~AdmCtButtonHlp    10: Culture (en-US)~@~18~@~1~@~Culture
19~@~AdmButtonHlp    10: Culture (en-US)~@~19~@~1~@~Culture
22~@~AdmUsr    10: Email Address (en-US)~@~22~@~1~@~Email Address
23~@~AdmUsr    20: User Name (en-US)~@~23~@~1~@~User Name
24~@~AdmUsr    30: User Group (en-US)~@~24~@~1~@~User Group
25~@~AdmDbTable    10: Table Name (en-US)~@~25~@~1~@~Table Name
27~@~AdmReportGrp    10: Report (zh-CN)~@~2~@~4~@~报告
28~@~AdmScreenCri    10: Screen (zh-CN)~@~3~@~4~@~屏幕
29~@~AdmReportCri    10: Report (zh-CN)~@~4~@~4~@~报告
31~@~AdmClientRule    10: Screen (zh-CN)~@~9~@~4~@~屏幕
32~@~AdmClientRule    30: Culture (zh-CN)~@~10~@~4~@~文化
33~@~AdmClientRule    20: Report (zh-CN)~@~11~@~4~@~报告
35~@~AdmReportObj    10: Report (zh-CN)~@~13~@~4~@~报告
36~@~AdmWebRule    10: Screen (zh-CN)~@~15~@~4~@~屏幕
37~@~AdmServerRule    10: Screen (zh-CN)~@~16~@~4~@~屏幕
38~@~AdmWizardRule    10: Wizard (zh-CN)~@~17~@~4~@~男巫
39~@~AdmCtButtonHlp    10: Culture (zh-CN)~@~18~@~4~@~文化
40~@~AdmButtonHlp    10: Culture (zh-CN)~@~19~@~4~@~文化
43~@~AdmUsr    10: Email Address (zh-CN)~@~22~@~4~@~电子邮址
44~@~AdmUsr    20: User Name (zh-CN)~@~23~@~4~@~用户名称
45~@~AdmUsr    30: User Group (zh-CN)~@~24~@~4~@~用户组
46~@~AdmDbTable    10: Table Name (zh-CN)~@~25~@~4~@~表名称
48~@~AdmReportGrp    10: Report (fr-FR)~@~2~@~2~@~Rapport
49~@~AdmScreenCri    10: Screen (fr-FR)~@~3~@~2~@~Écran
50~@~AdmReportCri    10: Report (fr-FR)~@~4~@~2~@~Rapport
52~@~AdmClientRule    10: Screen (fr-FR)~@~9~@~2~@~Écran
53~@~AdmClientRule    30: Culture (fr-FR)~@~10~@~2~@~Culture
54~@~AdmClientRule    20: Report (fr-FR)~@~11~@~2~@~Rapport
56~@~AdmReportObj    10: Report (fr-FR)~@~13~@~2~@~Rapport
57~@~AdmWebRule    10: Screen (fr-FR)~@~15~@~2~@~Écran
58~@~AdmServerRule    10: Screen (fr-FR)~@~16~@~2~@~Écran
59~@~AdmWizardRule    10: Wizard (fr-FR)~@~17~@~2~@~Magicien
60~@~AdmCtButtonHlp    10: Culture (fr-FR)~@~18~@~2~@~Culture
61~@~AdmButtonHlp    10: Culture (fr-FR)~@~19~@~2~@~Culture
64~@~AdmUsr    10: Email Address (fr-FR)~@~22~@~2~@~Email address
65~@~AdmUsr    20: User Name (fr-FR)~@~23~@~2~@~Nom d'utilisateur
66~@~AdmUsr    30: User Group (fr-FR)~@~24~@~2~@~Groupe d'utilisateur
67~@~AdmDbTable    10: Table Name (fr-FR)~@~25~@~2~@~Nom de Tableau
69~@~AdmMsgCenter    20: Source (en-US)~@~27~@~1~@~Source
70~@~AdmMsgCenter    10: Message Id (en-US)~@~28~@~1~@~Message Id
71~@~AdmRptCtr    10: Report (en-US)~@~29~@~1~@~Report
72~@~AdmRptElm    10: Report (en-US)~@~30~@~1~@~Report
73~@~AdmRptTbl    20: Report Control (en-US)~@~31~@~1~@~Report Control
